reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
67,75,119,14,0,2,t,1.2056441999739036,None,2,0,14,5,32.18162049999228,,32.16960720001953,32.18162049999228,33.164821800019126,33.164821800019126,33.181683800008614,34.38224609999452,t,1.2056441999739036,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
27,50,21,15,1,2,l,0.9673253999790177,None,2,1,15,2,34.398218200018164,,34.38894799997797,34.398218200018164,35.39807210001163,35.39807210001163,35.39807210001163,36.38216300000204,l,0.9673253999790177,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
15,35,13,16,2,2,t,0.7489914000034332,None,2,2,16,1,36.444008700025734,,36.442422199994326,36.444008700025734,37.38135219999822,37.38135219999822,37.44808170001488,38.131997400021646,t,0.7489914000034332,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
40,55,62,17,3,2,l,1.9356746000121348,None,2,3,17,3,38.14804110000841,,38.13940480002202,38.14804110000841,39.131305299990345,39.131305299990345,39.14799229998607,41.08184489997802,l,1.9356746000121348,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
11,30,7,18,4,2,l,0.9216362999868579,None,2,4,18,0,41.09810419997666,,41.08702849998372,41.09810419997666,42.08149870001944,42.08149870001944,42.0985102999839,43.01503599999705,l,0.9216362999868579,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
49,60,89,19,5,2,t,0.9704882999649271,None,2,5,19,4,43.031225899991114,,43.02081770001678,43.031225899991114,44.0144909999799,44.0144909999799,44.03113449999364,44.99930560000939,t,0.9704882999649271,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
78,80,162,20,6,2,t,0.834596699976828,None,2,6,20,6,45.01505550002912,,45.006162100005895,45.01505550002912,46.01503300003242,46.01503300003242,46.01503300003242,46.86583590001101,t,0.834596699976828,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
11,30,7,21,0,3,l,0.7305601999978535,None,3,0,21,0,46.88128999999026,,46.87261199997738,46.88128999999026,47.88147189997835,47.88147189997835,47.88147189997835,48.61557229998289,l,0.7305601999978535,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
15,35,13,22,1,3,l,1.5799054000526667,None,3,1,22,1,48.6313656999846,,48.62267840001732,48.6313656999846,49.61489949998213,49.61489949998213,49.63167909998447,51.198852200002875,l,1.5799054000526667,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
78,80,162,23,2,3,t,1.260379500046838,None,3,2,23,6,51.21481879998464,,51.205684899992775,51.21481879998464,52.1982444000314,52.1982444000314,52.214717900031246,53.46542469999986,t,1.260379500046838,None,P004,001,21,2025-11-05_18h57.55.544,DelayDiscounting_Experiment,,2025.1.1,59.95063663283657,2025-11-05 18h58.06.376273 +0530,
