delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Polygon.started,Polygon_2.started,key_resp.started,Polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.7,1000,exp,197,5,16,space,0.6226391999516636,None,760,1,[3.9122988000744954],[3.9123093000380322],16,5,197,5,952.2142902000342,,952.1986064000521,952.2142902000342,953.2138056000695,953.2138056000695,953.2138056000695,953.8477953000693,space,0.6226391999516636,None,953.8485736000584,0.6993346000090241,0.9994464999763295,954.8578678000486,954.8583900000667,954.8687655000249,954.8687655000249,954.8687655000249,958.7814527000301,760,1,[3.9122988000744954],[3.9123093000380322],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.7,1000,exp,198,6,16,space,0.49548650009091944,None,180,1,[2.646727200015448],[2.6467373999767005],16,6,198,8,958.796829400002,,958.7817584000295,958.796829400002,959.7969507999951,959.7969507999951,959.7969507999951,960.2975539000472,space,0.49548650009091944,None,960.2983260999899,0.6994071000954136,0.9993264001095667,961.3073683000403,961.3078536000103,961.3183690999867,961.3183690999867,961.3183690999867,963.9654168999987,180,1,[2.646727200015448],[2.6467373999767005],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.1,400,unexp,199,7,16,space,0.3622347000055015,None,700,1,[3.6009029999841005],[3.600913800066337],16,7,199,0,963.9801426000195,,963.9656983000459,963.9801426000195,964.9802562000696,964.9802562000696,964.9802562000696,965.3475520000793,space,0.3622347000055015,None,965.3485746000661,0.09935689996927977,0.3994576999684796,965.7575502999825,965.7578771000262,965.7641116000013,965.7641116000013,965.7641116000013,969.3653403000208,700,1,[3.6009029999841005],[3.600913800066337],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.7,400,unexp,200,8,16,space,0.6213023000163957,None,300,1,[5.321540299919434],[5.321552800014615],16,8,200,2,969.3798972000368,,969.3656471000286,969.3798972000368,970.3800225000596,970.3800225000596,970.3800225000596,971.0145629000617,space,0.6213023000163957,None,971.0157715000678,0.7153641999466345,1.0153752999613062,972.0445095000323,972.0450960000744,972.0584765999811,972.0584765999811,972.0584765999811,977.3804636000423,300,1,[5.321540299919434],[5.321552800014615],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.4,400,unexp,201,9,16,space,0.23913929995615035,None,200,1,[1.4463736999314278],[1.4463954999810085],16,9,201,1,977.3964122000616,,977.3807957000099,977.3964122000616,978.3799539000029,978.3799539000029,978.3964827000163,978.6304936000379,space,0.23913929995615035,None,978.6316414000466,0.39939379994757473,0.6993962000124156,979.3448338999879,979.3453717000084,979.3523813000647,979.3523813000647,979.3523813000647,980.7994511000579,200,1,[1.4463736999314278],[1.4463954999810085],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.1,1000,exp,202,10,16,space,0.37830680003389716,None,250,1,[2.593748899991624],[2.5937608999665827],16,10,202,9,980.8131145000225,,980.8000072999857,980.8131145000225,981.8131323000416,981.8131323000416,981.8131323000416,982.1972635000711,space,0.37830680003389716,None,982.1985653000884,0.09901020000688732,0.3990940999938175,982.6063783999998,982.6070604000706,982.6208596000215,982.6208596000215,982.6208596000215,985.2149442000082,250,1,[2.593748899991624],[2.5937608999665827],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.4,1000,exp,203,11,16,space,0.3658635999308899,None,100,1,[1.1876065999967977],[1.1876165999565274],16,11,203,7,985.2294254000299,,985.2152755000861,985.2294254000299,986.2296944999835,986.2296944999835,986.2296944999835,986.6135755000869,space,0.3658635999308899,None,986.6147150000324,0.39938590000383556,0.6993971000192687,987.3275446000043,987.3282646000152,987.3426206000149,987.3426206000149,987.3426206000149,988.5305386000546,100,1,[1.1876065999967977],[1.1876165999565274],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.7,1000,exp,204,0,17,space,0.13597179995849729,None,700,1,[1.0976482999976724],[1.097737199976109],17,0,204,8,988.5462998000439,,988.5307742999867,988.5462998000439,989.5461877000052,989.5461877000052,989.5461877000052,989.6965375000145,space,0.13597179995849729,None,989.6972890000325,0.6995495000155643,0.9995590000180528,990.7063216000097,990.7068102000048,990.716478300048,990.716478300048,990.716478300048,991.8146084999898,700,1,[1.0976482999976724],[1.097737199976109],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.4,400,unexp,205,1,17,space,0.3628875999711454,None,150,1,[3.4964398000156507],[3.4964596999343485],17,1,205,1,991.8294893000275,,991.8148973999778,991.8294893000275,992.8294002000475,992.8294002000475,992.8294002000475,993.196459800005,space,0.3628875999711454,None,993.1972091000061,0.3994622000027448,0.6995213000336662,993.9066425000783,993.907115100068,993.9171963999979,993.9171963999979,993.9171963999979,997.4141772000585,150,1,[3.4964398000156507],[3.4964596999343485],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
0.1,1000,exp,206,2,17,space,0.29243879998102784,None,100,1,[1.501852700021118],[1.5018676000181586],17,2,206,6,997.4292926000198,,997.4145079000155,997.4292926000198,998.4293760000728,998.4293760000728,998.4293760000728,998.7299063000828,space,0.29243879998102784,None,998.7313666000264,0.09922670002561063,0.3991541999857873,999.1473765000701,999.1480228999862,999.1621119000483,999.1621119000483,999.1621119000483,1000.6643665999873,100,1,[1.501852700021118],[1.5018676000181586],P001,001,21,2025-11-08_16h50.29.656,intentionalbinding_experiment,,2025.1.1,59.994660462498246,2025-11-08 16h50.46.258406 +0530,
