Pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Routine_1.started,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp.started,Routine_1.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Routine_2.started,Fixation2.started,line1.started,line2.started,line3.started,line4.started,Fixation2.stopped,probe2.started,key_resp_2.started,Routine_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,Age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
150,v,73,1,18,v,1,0.8273410999681801,None,,,,,18,1,73,1,,,,,205.1956996000372,,205.17844859999605,205.1956996000372,206.1788829000434,206.1788829000434,206.1788829000434,206.1788829000434,206.19372560002375,207.17714000004344,207.17714000004344,208.0111216000514,v,1,0.8273410999681801,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
50,c,74,2,18,c,1,0.7527521000010893,None,,,,,18,2,74,2,,,,,208.02919530007057,,208.0116903000744,208.02919530007057,209.01228110003285,209.01228110003285,209.01228110003285,209.01228110003285,209.0271735000424,210.01052690006327,210.01052690006327,210.77811050007585,c,1,0.7527521000010893,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
-150,z,75,3,18,z,1,0.300275000045076,None,,,,,18,3,75,3,,,,,210.79541000002064,,210.77875190007035,210.79541000002064,211.77865410002414,211.77865410002414,211.77865410002414,211.77865410002414,211.79357640002854,212.79338110005483,212.79338110005483,213.09455640008673,z,1,0.300275000045076,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
-50,x,76,0,19,x,1,0.5006542999763042,None,,,,,19,0,76,0,,,,,213.11203840002418,,213.0951505000703,213.11203840002418,214.09571950009558,214.09571950009558,214.09571950009558,214.09571950009558,214.110329200048,215.11014100001194,215.11014100001194,215.6276952000335,x,1,0.5006542999763042,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
150,v,77,1,19,v,1,0.8579976999899372,None,,,,,19,1,77,1,,,,,215.64573350001592,,215.6282926000422,215.64573350001592,216.62866770010442,216.62866770010442,216.62866770010442,216.62866770010442,216.64369360008277,217.62700520001817,217.62700520001817,218.4943581999978,v,1,0.8579976999899372,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
50,c,78,2,19,c,1,0.2717895000241697,None,,,,,19,2,78,2,,,,,218.5117635000497,,218.4949313000543,218.5117635000497,219.4953789000865,219.4953789000865,219.4953789000865,219.4953789000865,219.50995860004332,220.5101902000606,220.5101902000606,220.79453710000962,c,1,0.2717895000241697,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
-150,z,79,3,19,z,1,0.2589185000397265,None,,,,,19,3,79,3,,,,,220.8119996000314,,220.79510160000063,220.8119996000314,221.79535070003476,221.79535070003476,221.79535070003476,221.79535070003476,221.8098980000941,222.8098952000728,222.8098952000728,223.0776399000315,z,1,0.2589185000397265,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
-50,x,80,0,20,x,1,0.2696210000431165,None,,,,,20,0,80,0,,,,,223.09530660009477,,223.07825350004714,223.09530660009477,224.07841940002982,224.07841940002982,224.07841940002982,224.07841940002982,224.09337210003287,225.0766906000208,225.0766906000208,225.36091000004672,x,1,0.2696210000431165,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
150,v,81,1,20,v,1,0.9675569999963045,None,,,,,20,1,81,1,,,,,225.37869340006728,,225.36152570007835,225.37869340006728,226.36169910000172,226.36169910000172,226.36169910000172,226.36169910000172,226.3767640000442,227.37654399999883,227.37654399999883,228.3608192000538,v,1,0.9675569999963045,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
50,c,82,2,20,c,1,0.23749940004199743,None,,,,,20,2,82,2,,,,,228.37829420005437,,228.3614332000725,228.37829420005437,229.36201720009558,229.36201720009558,229.36201720009558,229.36201720009558,229.3767353000585,230.37667430005968,230.37667430005968,230.62739890010562,c,1,0.23749940004199743,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
-150,z,83,3,20,z,1,0.2665017999242991,None,,,,,20,3,83,3,,,,,230.64497360005043,,230.62797880009748,230.64497360005043,231.6282465000404,231.6282465000404,231.6282465000404,231.6282465000404,231.64311800000723,232.64338650007267,232.64338650007267,232.92753169999924,z,1,0.2665017999242991,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
-50,x,84,0,21,x,1,0.24037889996543527,None,,,,,21,0,84,0,,,,,232.94506300007924,,232.92818849999458,232.94506300007924,233.92816120001953,233.92816120001953,233.92816120001953,233.92816120001953,233.94286380009726,234.94290200003888,234.94290200003888,235.19392920006067,x,1,0.24037889996543527,None,,,,,,,,,,,,,,,P003,001,21,2025-10-03_12h04.54.969,MotorSequence,,2025.1.1,59.90211992992102,2025-10-03 12h05.03.938137 +0530,
